index,raw_response
79,NO — This is an in vitro comparison of antibacterial activity of cephalosporins against clinical isolates and does not involve a transgenerational study design or intergenerational exposure outcomes.
80,"NO — This is an organic chemistry methods paper on synthesis of allylic hydroxy phosphonates and contains no transgenerational study design, exposures, or biological/health outcomes."
81,"NO — This is a familial genetic study reporting autosomal dominant inheritance of inclusion body myositis, not a transgenerational study of exposure effects and contains no exposure/stressor-related transgenerational design."
82,"NO — This is a within-generation immunology study of intracameral antigen injection in mice (ACAID) describing monocyte/T-cell responses, with no transgenerational design or assessment of effects in offspring."
83,NO — This is a clinical review of aromatase inhibitors for breast cancer treatment and does not describe a transgenerational study design or exposures causing health effects in subsequent generations.
84,NO — This is a molecular epidemiology study of Aeromonas in diarrheal patients with no transgenerational study design or examination of exposures producing effects across generations.
85,"NO — This is a family case report of genetically inherited myotonic dystrophy demonstrating anticipation across generations, not a transgenerational exposure study and contains no exposure/stressor being transmitted."
86,NO — This is a methodological/genetic pedigree study on identifying maternal grandsires in dairy cattle and does not investigate transgenerational exposure effects or a transgenerational study design.
87,NO — The record describes cancer vaccine development and clinical/animal studies in patients but contains no indication of a transgenerational study design or assessment of effects transmitted to subsequent generations.
88,"YES — Animal study of transplacental (in utero) exposure in pregnant mice with assessment of tumor outcomes in the offspring, i.e., a generational study of exposure effects."
89,"NO — This is a materials/chemistry methods study about encapsulating fluorescein with dendrimers and adipic acid, with no transgenerational study design, exposures, or biological outcomes reported."
90,NO — This is a review of nerve growth factor and diabetic neuropathy mechanisms and potential therapies and does not describe a transgenerational study design or exposure effects across generations.
91,NO — This is a genetic linkage/inheritance study of schizophrenia in pedigrees and does not examine transgenerational effects of an exposure or stressor (it focuses on inheritance of disease loci rather than exposure-driven transgenerational outcomes).
92,NO — This is a clinical report on use of the antibiotic cefepime in patients and does not describe a transgenerational study design or exposures affecting subsequent generations.
93,"NO — This is a technical comparison of intra-oral radiography detector systems and image quality, not a transgenerational study of exposures or health outcomes."
94,NO — This is a clinical case report about antibiotic treatment for pediatric meningitis and does not describe a transgenerational study design or exposures producing effects in subsequent generations.
95,NO — This is a clinical review of ofatumumab treatment for chronic lymphocytic leukemia and does not describe a transgenerational study design or exposures with outcomes measured across generations.
96,NO — This is a pedigree/genetic inheritance report of congenital cleft lip/jaw in cattle (autosomal recessive) with no transgenerational exposure design or exposure/stressor described.
97,NO — This paper describes hepatitis vaccine development and immunogenicity trials in animals and humans and does not report a transgenerational study design or outcomes in subsequent generations.
98,NO — This is a physics/engineering paper about X-ray monochromator/beamline development for high-pressure diffraction and does not describe any transgenerational biological study or exposures.
99,"NO — This is a clinical study on intraoperative hydroxyethylstarch infusion and postoperative outcomes in patients, with no transgenerational study design or assessment of effects in subsequent generations."
100,"NO — This is a behavioral case report of a chimpanzee adoption incident, not a transgenerational study of exposures or inheritance of exposure-related health outcomes."
101,"NO — This is a methods paper describing creation and characterization of an Iba1-EGFP transgenic mouse line for visualizing microglia, not a transgenerational exposure study nor reporting inherited health effects across generations."
102,NO — The title indicates a discussion of risks and benefits of third‑generation contraceptives with no indication of a transgenerational study design or examination of exposures affecting subsequent generations.
103,NO — This is a clinical study of intraoperative ultrasound hyperthermia in patients and does not describe a transgenerational study design or intergenerational exposure effects.
104,"NO — This is a clinical/epidemiological study of Yersinia infections in patients (diagnosis, sources, and antibiotic susceptibility) and does not involve a transgenerational study design or assessment of effects across generations."
105,NO — This is a genetic mapping study of hybrid breakdown in rice (identifying complementary genes hwh1 and hwh2) and does not examine transgenerational effects of an exposure or stressor.
106,NO — This is a microbiology/clinical report on antibiotic tolerance in a bacterial isolate and does not describe a transgenerational study design or intergenerational exposure/outcome assessment.
107,"NO — This is a familial genetic report of inherited palmoplantar keratoderma and Ehlers-Danlos across generations without any exposure or transgenerational exposure study design, so it does not meet the inclusion criteria."
108,NO — This is a methods/ gene-transduction study of lentiviral vectors in cardiomyocytes (in vitro and in vivo) and does not investigate transgenerational study design or transmission of exposures/effects to subsequent generations.
109,"NO — This is a sociocultural study of transmission of traditional ecological knowledge across generations, not a transgenerational exposure study of biological health effects in humans or animals."
110,"NO — This is a pharmacological review of antiepileptic drug chemical properties and drug development, with no indication of a transgenerational study design or investigation of exposures producing effects in subsequent generations."
111,"YES — Drosophila study showing transgene-induced I-element silencing that is established over several generations, maternally transmitted (and reversible by paternal transmission) and maintained at least one generation after transgene removal, i.e., a transgenerational experimental design."
112,NO — This is an acute PET pharmacology study measuring H1 receptor occupancy after single-dose antihistamines in adult volunteers (crossover design) and does not use a transgenerational design or assess effects in subsequent generations.
113,NO — This is a chart-review study of treatment monitoring and switching in adult CML patients and does not involve a transgenerational study design or exposures affecting subsequent generations.
114,"YES — The study reports heavy-metal exposures and compares survival and development across first and second generations of Drosophila melanogaster, indicating a multigenerational/transgenerational experimental design."
115,"NO — This is a familial case report of inherited MEN1 due to a germline mutation (genetic inheritance), not a transgenerational study of exposures causing health effects in descendants."
116,NO — This study examines associations between immigrant generation status and adolescents' suicide/substance-use outcomes and does not use a transgenerational exposure design or assess transmission of exposure effects across generations.
117,"NO — This review discusses vaccine immunology and antigen/T-cell responses for bacterial pathogens (e.g., tuberculosis) and does not describe a transgenerational study design or cross-generational effects of exposures."
118,NO — This is a clinical trial of a dermal filler in HIV-positive adults to treat lipoatrophy and does not involve a transgenerational study design or assessment of effects on subsequent generations.
119,NO — This is a within-person clinical study measuring serum leptin in women taking oral contraceptives over time and does not involve offspring or any transgenerational study design.
120,NO — This is an in vitro pharmacokinetic/pharmacodynamic study using HT29 multicellular layer cultures of cancer cells and does not involve a transgenerational study design or multigenerational exposures.
121,"NO — This is a population-level analysis of smoking prevalence and lung cancer mortality by birth cohort, not a transgenerational study assessing exposure effects across generations."
122,"NO — This is an evaluation of critical care ventilators and does not describe any transgenerational study design, exposure, or cross-generational health outcomes."
123,NO — This is a microbiology/molecular physiology study of E. coli enzyme induction under anaerobic/energy-restricted conditions and does not involve a transgenerational study design or investigation of exposure effects across generations.
124,"NO — This is a genetic/neuropharmacology study comparing mutant mice (including F2 as a breeding generation) and repeated ethanol dosing within animals, not an investigation of transgenerational transmission of exposure-induced health effects."
125,NO — This is a general overview of environmental conditions and health burdens in developing countries and contains no indication of a transgenerational study design or multigenerational exposure–outcome research.
126,"NO — This is an evolutionary/speciation study examining premating/postmating barriers and F1/F2 genotype frequencies in hybrid fish, not a transgenerational exposure study and it does not assess health outcomes from an exposure across generations."
127,NO — This is an in vitro study of MNNG-induced mutations in cultured human fibroblasts and does not use a transgenerational (multi‑generation whole‑organism) design or examine inheritance of exposure effects across generations.
128,NO — This is a biomaterials/immunology study on platelet-rich fibrin and cytokine release with no indication of a transgenerational study design or intergenerational exposure outcomes.
129,NO — This is a literature review of attachment in eating disorders that only mentions transgenerational transmission as a future research area and does not report any transgenerational study design or data.
130,NO — This is an observational report of a conference about children of Holocaust survivors and does not describe a transgenerational research study or assess exposures and health outcomes across generations.
131,NO — This is a clinical summary of chemotherapy regimens for stage IV non–small cell lung cancer and does not describe a transgenerational study design or exposures affecting subsequent generations.
132,YES — Animal (pregnant guinea pig) study showing prenatal synthetic glucocorticoid exposure alters DNA methylation and epigenetic regulator expression in offspring with these changes persisting into the next generation (multigenerational/transgenerational design).
133,"NO — This is an ecological mesocosm study of propagule supply affecting grazer community composition and primary production across generations, not a transgenerational study of exposure-induced health effects or inheritance of exposures."
134,"NO — This record describes targeted cytotoxic cancer therapies (e.g., trastuzumab and antibody–drug conjugates) and does not report a transgenerational study design or exposures with effects assessed in subsequent generations."
135,"NO — This is a longitudinal clinical study of HCV seroconversion in multitransfused, immunocompromised patients and does not assess transgenerational transmission or health effects across generations."
136,NO — This is a psychological study of intergenerational family processes (individuation/intimacy) across three generations and does not examine exposures or transgenerational biological/health effects.
137,NO — This review discusses immunotherapeutic strategies for treating resected melanoma and does not describe a transgenerational study design or investigate exposures leading to health effects in subsequent generations.
138,NO — This is an ex vivo pharmacology study of isradipine effects on isolated rat myometrium (nonpregnant and pregnant) and does not involve a transgenerational study design or exposure across generations.
139,"NO — This is a review of antihistamines' sedative and psychopharmacological effects in users and describes performance tests, with no transgenerational study design or assessment of effects in subsequent generations."
140,"NO — This paper describes changes in virus production in an implanted tumor cell line and successive tumor transplant passages (cell/tumor generations), not a transgenerational study of inherited exposure effects across organismal generations."
141,"NO — this is an evolutionary selection experiment on a dinoflagellate (microalga), not a human/animal whole-organism transgenerational exposure study and it does not examine inherited exposure-related health outcomes."
142,"NO — This is a biographical/historical account of Edouard Brissaud and his family, not a transgenerational study and it does not report exposures or health outcomes across generations."
143,NO — This is a clinical study of HCV and autoantibodies in Egyptian patients and does not employ a transgenerational study design or assess transmission of exposure effects to subsequent generations.
144,"NO — This study examines transgene-conferred herbicide resistance across plant generations (maize, Arabidopsis, soybean) and is not a human or animal transgenerational health-exposure study, so it does not meet the inclusion criteria."
145,"NO — This is an ecological/taphonomic modeling study of species' death assemblages and temporal mixing, not a transgenerational study of exposures or inheritance of health effects in humans or animals."
146,NO — This report describes familial/X‑linked inheritance of neural tube defects across generations without any investigation of an exposure or transgenerational exposure effect.
147,NO — This is a sociological study of men's narratives about social mobility (career and life stories) and does not report a transgenerational biological/health study or exposure-related outcomes across generations.
148,NO — The title indicates a sociological/behavioral discussion of intergenerational exchanges with no indication of a transgenerational biological study design or exposures across generations.
149,NO — This is a prospective clinical series of endovascular repair for traumatic isthmic aortic rupture in patients and does not involve a transgenerational study design or exposures affecting subsequent generations.
150,"NO — This is an antibiotic susceptibility/epidemiologic study of Salmonella isolates over time, not a transgenerational study of exposure effects across generations in humans or whole animals."
151,"NO — This study examines brostallicin cytotoxicity in cancer cell lines and fibroblasts (drug sensitivity and DNA repair), and does not involve a transgenerational study design or inheritance of exposure effects."
152,NO — This paper examines age-related differences in lymphocyte proliferation in individuals in vitro and does not employ a transgenerational study design or assess inheritance of exposure effects to subsequent generations.
153,"NO — This is a fungal genetics study (Neurospora crassa) describing heritable lifespan mutations and selection across generations, but it is not research in humans or animals and therefore falls outside the inclusion criteria."
154,"NO — This is a review of associations between schizophrenia, diabetes, and antipsychotic treatment within affected patients and contains no transgenerational study design or assessment of effects across generations."
155,NO — This is a surgical/diagnostic study assessing pancreas graft perfusion by contrast-enhanced ultrasound for transplantation and does not involve a transgenerational study design or intergenerational exposures.
156,NO — This is a methodological paper on designing reference families for genetic linkage mapping and does not report a transgenerational exposure study or exposures causing health outcomes in subsequent generations.
157,NO — This is a plant molecular genetics/linkage mapping study in sorghum (PCR primer and RFLP analysis of F2 progeny) and does not report a transgenerational exposure study or exposure-induced health outcomes.
158,NO — This is a methods/imaging study of FDG glucose metabolism in brain tissue with no transgenerational study design or investigation of exposure effects across generations.
159,NO — This is an acute infection/immunology study in CD118-deficient mice examining responses to HSV-1 and contains no transgenerational design or assessment of effects transmitted to offspring.
160,"NO — This is a clinical methods comparison of impedance cardiography versus thermodilution in post-coronary artery bypass graft patients and does not involve any transgenerational study design, exposures, or outcomes in subsequent generations."
161,NO — This is a microbial strain‑improvement study (mutagenesis of Aspergillus niger) and does not report a transgenerational exposure study in animals or humans nor examine exposure‑induced health outcomes across generations.
162,"NO — This study compares parenting and risky sexual behaviors across immigrant generations (first vs. second generation) but does not use a transgenerational design assessing transmission of exposures/effects across generations (e.g., biological/epigenetic or multigenerational outcomes)."
163,"NO — This is a microbial biotechnology/bioreactor study on recombinant yeast and enzyme production (plasmid stability), with no transgenerational study design or investigation of exposures and health outcomes in subsequent generations."
164,"NO — This is a genetic case report tracing a heritable chromosomal translocation across family members, not a study of transgenerational effects of an exposure or stressor."
165,"NO — This is a clinical genetics question about inheritance risk of familial hypophosphatemic rickets (disease transmission), not a transgenerational exposure study, so it does not meet the transgenerational study-design inclusion criteria."
166,NO — This is a cross-sectional study of asthma prevalence in children that only notes family history (parents/grandparents) and does not use a transgenerational exposure study design or assess exposure-driven effects across generations.
167,NO — This is a clinical registry report of excimer laser coronary angioplasty (procedure/outcomes in patients) and does not involve a transgenerational study design or exposures affecting subsequent generations.
168,NO — This is a diagnostic imaging study comparing CT scanner generations for coronary angiography and does not involve any transgenerational study design or exposures passed to subsequent generations.
169,NO — This paper is a viral phylogenetic/epidemiologic comparison of avian leukosis virus strains in chickens and does not report a transgenerational study design or exposure leading to health outcomes in subsequent generations.
170,NO — This is a cross-sectional/case-control study of estrogen metabolites by migration history in individual Asian American women and does not examine transgenerational exposure effects or outcomes across generations.
171,"YES

This study implements a transgenerational design by applying round spermatid injection (bypassing spermiogenesis) across five generations in mice and assessing fertility, growth, and neurobehavioral outcomes in the fifth-generation offspring."
172,"NO — This is a time-trend/cohort study relating childhood fallout exposure to thyroid cancer within the same birth cohorts, not a transgenerational study examining effects transmitted to subsequent generations."
173,"NO — This is a descriptive summary of the bacterium Eikenella corrodens and its clinical microbiology/antibiotic susceptibility, with no indication of a transgenerational study design or exposure effects across generations."
174,"NO — This is a plant evolutionary/morphological study (variation and F2 hybrids of Begonia) about leaf shape and trichomes, not a transgenerational exposure study or investigation of exposure-induced health effects across generations."
175,NO — This is a psychometric interrater reliability study of a side-effect rating scale in clozapine-treated patients and does not involve a transgenerational study design or assessment of exposures across generations.
176,NO — This record discusses genetic engineering approaches to antiviral vaccine development and does not describe a transgenerational study design or exposures across generations.
177,"NO — This is a plant genetic-transformation study reporting stable inheritance of a transgene in wheat across generations, not a transgenerational exposure study of health effects in animals or humans."
178,NO — This is a clinical imaging study of neonatal alloimmune thrombocytopenia describing antenatal/postnatal brain injury from maternal-fetal platelet incompatibility and does not use a transgenerational study design or assess effects across subsequent generations.
179,"NO — This is an economic/demographic analysis of intergenerational social expenditures and labour-force effects, not a transgenerational biological study of exposures or inherited health outcomes."
180,NO — This is a hospital epidemiology study linking third-generation cephalosporin use to nosocomial enterococcal infections and does not involve a transgenerational study design or transmission of exposure effects across generations.
181,NO — This is a qualitative community-based study of HIV/HPV risk and prevention among Pacific Islander young adults and does not use a transgenerational study design nor examine exposures producing health outcomes across generations.
182,NO — This study reports short-term effects of oral contraceptive use on plasma glucosylceramide and APC sensitivity in adult women and does not examine transgenerational transmission or effects in offspring.
183,"NO — This record describes clinical/therapeutic use of adult stem cells and cell therapy, with no transgenerational study design or examination of exposures producing health effects in subsequent generations."
184,YES — Experimental maternal exposure of Bugula neritina to copper and measurement of offspring resistance and post-metamorphic performance demonstrates a transgenerational (maternal-effect) study of exposure impacts on the next generation.
185,NO — This is a familial/genetic characterization of Treacher Collins syndrome across generations and does not assess any exposure or a transgenerational exposure study design.
186,"NO — This is an in vitro dental materials study on extracted teeth comparing adhesive systems and microleakage, not a transgenerational study of exposures affecting subsequent generations."
187,NO — This is a molecular review of platinum antitumor drug mechanisms and does not report any transgenerational study design or intergenerational exposure/outcome data.
188,NO — This is a cohort study of prescribing trends in individuals with bipolar disorder and does not assess transgenerational or multigenerational effects of exposures.
189,"YES — This minireview explicitly discusses transgenerational inheritance of stress responses and evidence that prenatal stress exposures program stress-axis changes across multiple generations, making it relevant to transgenerational exposure studies."
190,NO — This is a randomized clinical trial comparing chemotherapy regimens in lymphoma patients and does not involve a transgenerational study design or outcomes in subsequent generations.
191,NO — This is a clinical prognostic study of chromosome 9 deletions in CML patients treated with TKIs and does not involve a transgenerational exposure study design or assessment of effects across generations.
192,"YES — The record discusses multigenerational and in utero‑lactational testing and recommends expanding examination of offspring (F1) in Tier 2 assays, indicating generational study designs relevant to transgenerational research (though it is a screening/testing program overview rather than a specific transgenerational experiment)."
193,"NO — This is a physical chemistry study of thiophene's electronic structure using electron momentum spectroscopy and theoretical calculations, with no transgenerational study design, biological exposures, or health outcomes."
194,NO — This is an in vitro antimicrobial susceptibility study of Pseudomonas aeruginosa isolates from dogs with ulcerative keratitis and does not involve a transgenerational study design or exposures assessed across generations.
195,"NO — This is a mechanistic immunology study using ST2(-/-) mice and Th2 cell transfer to assess pulmonary inflammation, not a transgenerational study of exposures or health effects across generations."
196,NO — This is a clinical imaging/perfusion study of an ultrasound contrast agent in patients and healthy subjects and does not describe a transgenerational study design or cross-generational exposure outcomes.
197,"NO — This is a methods/technical paper on protein crystallography microdiffraction and does not describe a transgenerational study design, exposures, or inheritance across generations."
198,"YES — Animal (rat) study where maternal suboptimal protein nutrition during pregnancy/lactation produced metabolic changes measured in the second- and third-generation offspring, i.e., a transgenerational study design."
199,"NO — This is a synthetic organic chemistry methods paper on asymmetric synthesis and metathesis of homoallylic/cyclohexenylamines and does not report any transgenerational study design, exposures, or health outcomes."
200,"NO — This is a review of aromatase inhibitors as adjuvant breast cancer therapy focusing on patient outcomes and side effects, with no indication of a transgenerational study design or effects on subsequent generations."
201,"NO — This is a descriptive background on migrant demographics, socioeconomic status, and general health issues and does not report a transgenerational study design or exposure-related health outcomes across generations."
202,"NO — This is an in vitro phage-display experimental evolution of polypeptides across selection cycles, not a transgenerational whole-organism study of exposures or heritable health effects."
