,IO_id,Person to screen,NCT Number,Study Title,Brief Summary,Study Status,Study Results,Conditions,Interventions,Sponsor,Collaborators,Phases,Enrollment,Funder Type,Study Type,Study Design,Other IDs,Primary Completion Date,First Posted,Last Update Posted,Locations,Study URL,Medtech (y/n)?,Generative AI (y/n)?,Column1,Column2,Robotic?,"Include?
",Randomise column,Query,2nd review for queries ,2nd reviewer ,Include (y/n)? BG,Include (y/n)? IF,Include (y/n)? KT,Include (y/n)?  KL,Comments (KL),label,tiabs
294,295,KT,NCT06396182,Effect of Virtual Reality Exercise Versus Aerobic Training on Performance and Endurance in Physical Therapy Students,"Low levels of physical activity and sedentary lifestyle have become a major public health problem contributing to the prevalence of many chronic diseases and reduced life expectancy worldwide, and also increase the risk of heart disease, stroke, hypertension, type 2 diabetes, dementia, depression, excessive weight gain, and breast and colon cancer. Physical activity improves functional health and quality of life. (Iva Sklempe Kokic et al., 2019).

In Middle East, Insufficient physical activity and sedentary behavior are key risk factors for obesity and other diseases leading to premature mortality. Regular physical activity can improve self-esteem, cognitive performance, and academic achievement in young people. (Sonia Chaabane et al., 2020).

University students, due to the time spent in classes, studying or in front of computers, form part of the population most at risk of adopting sedentary behavior. Different studies have shown that the transition to university studies is usually associated to a decrease in physical activity and an increase in sedentary behavior as a result of lifestyle changes, as well as psychosocial factors. (Cotton et al., 2016).

Exercise is often perceived as boring and hard, thereby causing adults and students shy away from physical activity -related behaviors after long days of work and/or school. Instead, individuals are more interested in leisure activities, such as video games, Thus, the combination of video games and engaging in physical activity (e.g., virtual reality -integrated exercise) may

trigger their interest and improve their physical activity behavior. (Jiali Qian et al., 2020).

So, this trial aim to find if the virtual reality exercise as a new modality will make sedentary physical student more interest to adherent to exercise than conventional aerobic training so makes them more physically active which will enhance their academic performance and endurance.",RECRUITING,NO,Cardiorespiratory Fitness or Endurance,OTHER: group (A ) study group :virtual reality cycling by fully immersive Head-Mounted Display virtual reality (Oculus Quest virtual reality (VR) headset with hand controller).,Cairo University,,,60.0,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,P.T.REC/012/004374,01/07/2024,02/05/2024,02/05/2024,"Faculty of Physical Therapy, Cairo, Giza , Dokki, 11432, Egypt",https://clinicaltrials.gov/study/NCT06396182,,,,,,n,0.328527505,,,,,,,,,0,"Effect of Virtual Reality Exercise Versus Aerobic Training on Performance and Endurance in Physical Therapy Students Low levels of physical activity and sedentary lifestyle have become a major public health problem contributing to the prevalence of many chronic diseases and reduced life expectancy worldwide, and also increase the risk of heart disease, stroke, hypertension, type 2 diabetes, dementia, depression, excessive weight gain, and breast and colon cancer. Physical activity improves functional health and quality of life. (Iva Sklempe Kokic et al., 2019). In Middle East, Insufficient physical activity and sedentary behavior are key risk factors for obesity and other diseases leading to premature mortality. Regular physical activity can improve self-esteem, cognitive performance, and academic achievement in young people. (Sonia Chaabane et al., 2020). University students, due to the time spent in classes, studying or in front of computers, form part of the population most at risk of adopting sedentary behavior. Different studies have shown that the transition to university studies is usually associated to a decrease in physical activity and an increase in sedentary behavior as a result of lifestyle changes, as well as psychosocial factors. (Cotton et al., 2016). Exercise is often perceived as boring and hard, thereby causing adults and students shy away from physical activity -related behaviors after long days of work and/or school. Instead, individuals are more interested in leisure activities, such as video games, Thus, the combination of video games and engaging in physical activity (e.g., virtual reality -integrated exercise) may trigger their interest and improve their physical activity behavior. (Jiali Qian et al., 2020). So, this trial aim to find if the virtual reality exercise as a new modality will make sedentary physical student more interest to adherent to exercise than conventional aerobic training so makes them more physically active which wi"
295,296,KT,NCT04865666,Examining the Real-World Effectiveness of the Movr App,"The objective of this 8-week pilot pragmatic randomized controlled trial was to examine the real-world impact of movr on functional movement, flexibility, strength, and cardiovascular fitness.",COMPLETED,NO,Healthy,DEVICE: movr mHealth App,University of British Columbia,Mitacs|Lululemon Athletica,,48.0,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: OTHER,H19-01915,14/02/2020,29/04/2021,29/04/2021,"Diabetes Prevention Research Group Laboratory, Kelowna, British Columbia, V1V1V7, Canada",https://clinicaltrials.gov/study/NCT04865666,,,,,,n,0.862841986,,,,,,,,,0,"Examining the Real-World Effectiveness of the Movr App The objective of this 8-week pilot pragmatic randomized controlled trial was to examine the real-world impact of movr on functional movement, flexibility, strength, and cardiovascular fitness."
296,297,KT,NCT04784026,Dual Task Gait Performance in Pediatric Oncology Patients,"Cancer incidence, which is recognized as the leading cause of death in children worldwide, is gradually increasing.

Most studies on children who survive cancer show that the disease and its treatment have side effects and long-term late effects on the musculoskeletal system, physical function, gait and cognitive skills.

Therefore, dual task gait performance, in which cognitive and motor tasks are performed simultaneously, may be affected in pediatric oncology patients. The aim of this study is to compare gait performance in single and dual task conditions in pediatric oncology patients with healthy controls.",UNKNOWN,NO,Pediatric Cancer,OTHER: Gait assessment (single)|OTHER: Dual task gait assessment (motor+motor)|OTHER: Dual tak gait assessment (motor+cognitive),Afyonkarahisar Health Sciences University,,,40.0,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2021/144,20/03/2023,05/03/2021,05/03/2021,"Emel TaÅŸvuran Horata, Afyonkarahisar, 03030, Turkey",https://clinicaltrials.gov/study/NCT04784026,,,,,,n,0.915490026,,,,,,,,,0,"Dual Task Gait Performance in Pediatric Oncology Patients Cancer incidence, which is recognized as the leading cause of death in children worldwide, is gradually increasing. Most studies on children who survive cancer show that the disease and its treatment have side effects and long-term late effects on the musculoskeletal system, physical function, gait and cognitive skills. Therefore, dual task gait performance, in which cognitive and motor tasks are performed simultaneously, may be affected in pediatric oncology patients. The aim of this study is to compare gait performance in single and dual task conditions in pediatric oncology patients with healthy controls."
297,298,KT,NCT05499871,"Effect of a Gait Retraining Intervention and a Minimalist Footwear Transition on Foot-ankle Strength, Running Economy and Injury in Endurance Runners.","The main aim is to determine whether a gait retraining intervention will improve the strength of the foot-ankle muscle, the running economy and reduce the injury incidence in a one-year follow-up study. The secondary aim is to seek whether a minimal foot-ankle strength is necessary to reduce the risk to sustain to a running-related-injury to transit toward a forefoot strike pattern or toward a minimalist footwear for an endurance runner.

Participants will be assessed at baseline, at 2 month follow-up, at 6 month follow-up and at 12 month follow-up. Assessment will be composed by questionnaires, a foot screening, maximal voluntary isometric strength of foot-ankle muscle with hand held dynamometer. Then, participants will run on a treadmill at self-paced and at 10 km/h with to measure their running economy and their footstrike pattern. In function of their distribution, participants will receive either nothing (control group) or minimalist footwear or a training to modify their footstrike pattern toward a more forefoot strike.",ENROLLING_BY_INVITATION,NO,Running|Wounds and Injuries|Oxygen Consumption,BEHAVIORAL: Gait retraining intervention|DEVICE: Transition to minimalist footwear.,University of Liege,,,75.0,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: PREVENTION,9082022,12/09/2022,12/08/2022,29/11/2023,"Guillaume Abran, LiÃ¨ge, 4000, Belgium",https://clinicaltrials.gov/study/NCT05499871,,,,,,n,0.309748162,,,,,,,,,0,"Effect of a Gait Retraining Intervention and a Minimalist Footwear Transition on Foot-ankle Strength, Running Economy and Injury in Endurance Runners. The main aim is to determine whether a gait retraining intervention will improve the strength of the foot-ankle muscle, the running economy and reduce the injury incidence in a one-year follow-up study. The secondary aim is to seek whether a minimal foot-ankle strength is necessary to reduce the risk to sustain to a running-related-injury to transit toward a forefoot strike pattern or toward a minimalist footwear for an endurance runner. Participants will be assessed at baseline, at 2 month follow-up, at 6 month follow-up and at 12 month follow-up. Assessment will be composed by questionnaires, a foot screening, maximal voluntary isometric strength of foot-ankle muscle with hand held dynamometer. Then, participants will run on a treadmill at self-paced and at 10 km/h with to measure their running economy and their footstrike pattern. In function of their distribution, participants will receive either nothing (control group) or minimalist footwear or a training to modify their footstrike pattern toward a more forefoot strike."
298,299,KL,NCT05811195,Comparison of Prophylactic Photobiomodulation Protocols in Chemoinduced Oral Mucositis in Oncology Patients,"Childhood cancers represent less than 1% of the malignant diseases diagnosed worldwide. Treatment modalities for childhood malignancies will differ depending on the diagnosis. The main treatments may include chemotherapy (QT), radiation therapy (RT), and surgery. The toxicity caused by QT and RT generates adverse effects in the mouth, among them oral mucositis (MO). MO is damage that occurs to the oral mucosa and these lesions are extremely painful, uncomfortable, and cause great morbidity for patients. The main treatment of MO is intraoral photobiomodulation therapy (TBMI), this therapy has been widely used, reducing the severity and pain of MO in patients. The use of extraoral photobiomodulation therapy (TFBME) has been employed in some recent studies and has shown efficacy for reducing and improving the severity of OM. The present study aims to compare the effect of two protocols of photobiomodulation therapy (TFBM) using intraoral and extraoral low power laser in the prevention and treatment of OM in pediatric oncology patients receiving treatment with high dose metrotexate (MTX-HD) and its chemotherapy combinations. Initially, 34 pediatric and adolescent oncology patients receiving intravenous (IV) QT from risk protocols will be selected. Participants will be allocated into 2 groups: Group I: TFBMI (n=17) and Group II: TFBME (n=17). The study will be conducted by a dental surgeon who will perform the initial assessment and reassessments (blinded to the groups) and another who will apply the TFBM. Patients will be evaluated daily from day 1 (D1 - beginning of the chemotherapy cycle) until D10 or until healing of the lesions. The evaluation will consist of oral mucosa examination for grading of OM, pain assessment, quality of life, oral health, depressionand saliva evaluation of patients to assess. The analyses will be performed in the PASW 18.0 program, initially the evaluation of the data distribution will be performed by applying the Shapiro-Wilk and Kolmogorov-Smirnov tests. If, after applying these tests, the data show a normal distribution (p\>0.05), the t-test will be used. If the distribution is non-normal after the application of the tests (p\<0.05), the Wilcoxon test will be used. The p value will be set at 5%. Logistic regression will be used in adjusted models to estimate the probability of occurrence of OM.",RECRUITING,NO,Oral Mucositis|Chemotherapeutic Toxicity|Childhood Cancer,"DEVICE: Diode Semiconductor, Duo|DEVICE: Gemini laser",Federal University of Rio Grande do Sul,Hospital A.C. Camargo,,34.0,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION,PBM and MO IN CHEMIOINDUCED,01/04/2025,13/04/2023,13/05/2024,"Federal University of Rio Grande do Sul, Porto Alegre, Rio Grande Do Sul, 90035-004, Brazil",https://clinicaltrials.gov/study/NCT05811195,,,,,,n,0.828829433,,,,,,,,,0,"Comparison of Prophylactic Photobiomodulation Protocols in Chemoinduced Oral Mucositis in Oncology Patients Childhood cancers represent less than 1% of the malignant diseases diagnosed worldwide. Treatment modalities for childhood malignancies will differ depending on the diagnosis. The main treatments may include chemotherapy (QT), radiation therapy (RT), and surgery. The toxicity caused by QT and RT generates adverse effects in the mouth, among them oral mucositis (MO). MO is damage that occurs to the oral mucosa and these lesions are extremely painful, uncomfortable, and cause great morbidity for patients. The main treatment of MO is intraoral photobiomodulation therapy (TBMI), this therapy has been widely used, reducing the severity and pain of MO in patients. The use of extraoral photobiomodulation therapy (TFBME) has been employed in some recent studies and has shown efficacy for reducing and improving the severity of OM. The present study aims to compare the effect of two protocols of photobiomodulation therapy (TFBM) using intraoral and extraoral low power laser in the prevention and treatment of OM in pediatric oncology patients receiving treatment with high dose metrotexate (MTX-HD) and its chemotherapy combinations. Initially, 34 pediatric and adolescent oncology patients receiving intravenous (IV) QT from risk protocols will be selected. Participants will be allocated into 2 groups: Group I: TFBMI (n=17) and Group II: TFBME (n=17). The study will be conducted by a dental surgeon who will perform the initial assessment and reassessments (blinded to the groups) and another who will apply the TFBM. Patients will be evaluated daily from day 1 (D1 - beginning of the chemotherapy cycle) until D10 or until healing of the lesions. The evaluation will consist of oral mucosa examination for grading of OM, pain assessment, quality of life, oral health, depressionand saliva evaluation of patients to assess. The analyses will be performed in the PASW 18.0 program, in"
299,300,BG,NCT06559046,A CT-BASED Deep Learning Model for Predicting WHO/ISUP Pathological Grades of Clear Cell Renal Cell Carcinoma (ccRCC) :A Multicenter Cohort Study,"This study aims to establish an effective deep learning model to extract relevant information about renal tumors and kidneys from computed tomography (CT) images and predict the pathological grades of clear cell renal cell carcinoma (ccRCC).

Retrospective data were collected from 483 ccRCC patients across three medical centers. Arterial phase and portal venous phase CT images from the dataset were segmented for renal tumors and kidneys. Three convolutional neural networks (CNNs) were employed to extract features from the regions of interest (ROI) in the CT images across multiple dimensions including 3D, 2.5D, and 2D. Least absolute shrinkage and selection (LASSO) regression was used for feature selection. The models were evaluated using receiver operating characteristic (ROC) curves and decision curve analysis (DCA).",COMPLETED,NO,Tumor Grading|Deep Learning|Clear Cell Renal Cell Carcinoma,,Ting Huang,,,483.0,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2024107,30/06/2024,19/08/2024,20/08/2024,"Department of Urology, Affiliated Jinhua Hospital, Zhejiang University School of Medicine, Jinhua,Zhejiang, China, Jinhua, Zhejiang, 321000, China",https://clinicaltrials.gov/study/NCT06559046,,,,,,n,0.782191533,,,,,,,,,0,"A CT-BASED Deep Learning Model for Predicting WHO/ISUP Pathological Grades of Clear Cell Renal Cell Carcinoma (ccRCC) :A Multicenter Cohort Study This study aims to establish an effective deep learning model to extract relevant information about renal tumors and kidneys from computed tomography (CT) images and predict the pathological grades of clear cell renal cell carcinoma (ccRCC). Retrospective data were collected from 483 ccRCC patients across three medical centers. Arterial phase and portal venous phase CT images from the dataset were segmented for renal tumors and kidneys. Three convolutional neural networks (CNNs) were employed to extract features from the regions of interest (ROI) in the CT images across multiple dimensions including 3D, 2.5D, and 2D. Least absolute shrinkage and selection (LASSO) regression was used for feature selection. The models were evaluated using receiver operating characteristic (ROC) curves and decision curve analysis (DCA)."
300,301,KL,NCT05563818,Using Speech to Monitor Symptom Severity in Arabic Speaking Patients With Schizophrenia,"Brief Summary:

Definition: A short description of the clinical study, including a brief statement of the clinical study's hypothesis, written in language intended for the lay public.

Limit: 5000 characters. The purpose of this study is to investigate the relationship between speech features and severity of positive and negative clinical symptoms in Arabic speaking patients with schizophrenia. Individuals will be invited to participate in this study because (1) they have a confirmed clinical diagnosis of schizophrenia; (2) they plan to receive routine clinical care for schizophrenia at one of the four participating sites; (3) they speak Arabic as a first language.

Participants must be between the ages of 18-65 years. Participation will involve seven visits consisting of one baseline visit and six monthly follow-up visits. All participants will continue to receive routine clinical care.

Participation in this research will involve providing speech samples using standardized tasks collected using an electronic device. Additionally, study team members will assess positive and negative symptoms of schizophrenia using validated questionnaires.",COMPLETED,NO,Schizophrenia,OTHER: WinterLight Mobile Phone Speech Analysis,Hikma Pharmaceuticals LLC,Winterlight Labs,,57.0,INDUSTRY,OBSERVATIONAL,Observational Model: |Time Perspective: p,HIK-WL-SCZ-2021-01,20/12/2022,03/10/2022,22/09/2023,"Mustapha University Hospital, Algiers, Algeria|Ain Shams Hospital, Cairo, Egypt|Mental Health Hub, Amman, Jordan|Jeddah Psychiatry Hospital, Jeddah, Saudi Arabia",https://clinicaltrials.gov/study/NCT05563818,y,n,n,,,n,0.665873606,,,,,,,,,0,"Using Speech to Monitor Symptom Severity in Arabic Speaking Patients With Schizophrenia Brief Summary: Definition: A short description of the clinical study, including a brief statement of the clinical study's hypothesis, written in language intended for the lay public. Limit: 5000 characters. The purpose of this study is to investigate the relationship between speech features and severity of positive and negative clinical symptoms in Arabic speaking patients with schizophrenia. Individuals will be invited to participate in this study because (1) they have a confirmed clinical diagnosis of schizophrenia; (2) they plan to receive routine clinical care for schizophrenia at one of the four participating sites; (3) they speak Arabic as a first language. Participants must be between the ages of 18-65 years. Participation will involve seven visits consisting of one baseline visit and six monthly follow-up visits. All participants will continue to receive routine clinical care. Participation in this research will involve providing speech samples using standardized tasks collected using an electronic device. Additionally, study team members will assess positive and negative symptoms of schizophrenia using validated questionnaires."
301,302,BG,NCT06060847,Liver Resection and Simultaneous Sleeve Gastrectomy for MS-HCC (LIRESS),"Hepatocellular carcinoma (HCC) related to metabolic syndrome (MS) as unique risk factor is gradually overpassing the more common viral and alcohol etiology, becoming a global health issue. Liver surgery for metabolic syndrome-related HCC in this frail subset of patients constitute a challenge, due to high morbidity and mortality rate reported in literature, and contrasting results in term of oncologic outcome. The present multicentric prospective study aims to ascertain if the combination of sleeve gastrectomy and liver surgery in the same surgical procedure may have benefit in terms of reduced perioperative morbidity and prolonged Overall Survival and Recurrence Free Survival. Secondary outcome will be the evaluation of the consequences induced by sleeve gastrectomy on liver disease, in particular liver fibrosis evaluated in term of NFS score (Non-Alcoholic Fatty Liver Disease Fibrosis score), FIB-4 (Fibrosis-4 Index for Liver Fibrosis) score and Fibroscan transient elastography.",NOT_YET_RECRUITING,NO,"Carcinoma, Hepatocellular|Metabolic Syndrome",PROCEDURE: Liver resection and simultaneous sleeve gastrectomy for HCC induced by metabolic syndrome|PROCEDURE: Liver resection for HCC induced by metabolic syndrome,Ospedale V. Fazzi,,,50.0,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,Mar-23,06/03/2029,29/09/2023,19/12/2023,"Ospedale Vito Fazzi, Lecce, 73100, Italy",https://clinicaltrials.gov/study/NCT06060847,,,,,,n,0.403433268,,,,,,,,,0,"Liver Resection and Simultaneous Sleeve Gastrectomy for MS-HCC (LIRESS) Hepatocellular carcinoma (HCC) related to metabolic syndrome (MS) as unique risk factor is gradually overpassing the more common viral and alcohol etiology, becoming a global health issue. Liver surgery for metabolic syndrome-related HCC in this frail subset of patients constitute a challenge, due to high morbidity and mortality rate reported in literature, and contrasting results in term of oncologic outcome. The present multicentric prospective study aims to ascertain if the combination of sleeve gastrectomy and liver surgery in the same surgical procedure may have benefit in terms of reduced perioperative morbidity and prolonged Overall Survival and Recurrence Free Survival. Secondary outcome will be the evaluation of the consequences induced by sleeve gastrectomy on liver disease, in particular liver fibrosis evaluated in term of NFS score (Non-Alcoholic Fatty Liver Disease Fibrosis score), FIB-4 (Fibrosis-4 Index for Liver Fibrosis) score and Fibroscan transient elastography."
302,303,BG,NCT05163067,Combined Aerobic Exercise and Cognitive Training in Seniors With Genetic Susceptibility for Alzheimer's Disease,"The study aims to investigate the effect of a long-term combined aerobic exercise and cognitive training program on cognitive function, daily function, psychosocial status, and neural plasticity in seniors with genetic susceptibility for Alzheimer's Disease.",NOT_YET_RECRUITING,NO,Alzheimer Disease,BEHAVIORAL: Combined aerobic exercise and cognitive training program,"Xuanwu Hospital, Beijing",,,200.0,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION,ICND20210820,2034-12,20/12/2021,21/07/2023,"Xuanwu Hospital, Beijing, China",https://clinicaltrials.gov/study/NCT05163067,,,,,,n,0.068276357,,,,,,,,,0,"Combined Aerobic Exercise and Cognitive Training in Seniors With Genetic Susceptibility for Alzheimer's Disease The study aims to investigate the effect of a long-term combined aerobic exercise and cognitive training program on cognitive function, daily function, psychosocial status, and neural plasticity in seniors with genetic susceptibility for Alzheimer's Disease."
303,304,KL,NCT05004389,Biomarkers of Independent Walking Post-Stroke,"Prediction of walking recovery after stroke can inform patient-centered care and support discharge planning. The accuracy of current prediction models is limited, however, due to small study designs and narrow predictors assessed. The investigators propose a comprehensive evaluation of a novel combination of biomarkers to improve prediction of walking recovery and guide rehabilitation efforts after stroke. These include acute structural brain network disruption (utilizing MRI); blood biomarker levels (e.g., brain-derived neurotrophic factor and vascular endothelial growth factor); and clinical assessments of strength and mobility. The overall study objectives are to assess protocol feasibility and investigate relationships between select biomarkers and walking recovery to provide strong justification for a larger study on predictors of independent walking after stroke. The proposed objectives will be pursued through the following specific aims: 1) Assess feasibility of a larger study and develop methods for telehealth data collection; 2) Establish baseline levels of biomarkers and average change over time; and 3) Elucidate relationships between baseline levels of biomarkers and walking gains across time in persons after stroke. A longitudinal, observational study design will be utilized for this study. Thirty-five persons with acute (â‰¤7 days) stroke will be recruited from the local medical center. Select inclusion criteria include presence of new lower limb weakness and assistance for walking; select exclusion criteria include cerebellar stroke or other neurological disorders such as Parkinson's Disease. Subjects will undergo clinical evaluation at week 1, 4, 9, 12, and 26 weeks post-stroke. MRI scans will occur within 12 days post-stroke and at 12 weeks post-stroke, and blood draws within 1 week, 1 to 2 weeks and at 12 weeks post-stroke. To assess feasibility the investigators will examine study processes, recruitment, resources, study management, and scientific assessment. To examine the role of acute clinical, neuroimaging, and physiological measures in predicting walking recovery, the investigators will examine relationships between these measures and walking outcome at 12-weeks post-stroke. The proposed research is expected to provide strong scientific support for future clinical trials designed to target therapies based on predicted functional potential. Such knowledge has the potential of enhancing mobility gains and patient independence following stroke.",RECRUITING,NO,"Stroke, Acute|Gait, Hemiplegic",DIAGNOSTIC_TEST: MRI|DIAGNOSTIC_TEST: blood draw|OTHER: Clinical assessments,University of Vermont,National Institute of General Medical Sciences (NIGMS),,35.0,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,00000696|P20GM135007,2023-05,13/08/2021,14/03/2023,"University of Vermont Medical Center, Burlington, Vermont, 05405, United States",https://clinicaltrials.gov/study/NCT05004389,,,,,,n,0.793636127,,,,,,,,,0,"Biomarkers of Independent Walking Post-Stroke Prediction of walking recovery after stroke can inform patient-centered care and support discharge planning. The accuracy of current prediction models is limited, however, due to small study designs and narrow predictors assessed. The investigators propose a comprehensive evaluation of a novel combination of biomarkers to improve prediction of walking recovery and guide rehabilitation efforts after stroke. These include acute structural brain network disruption (utilizing MRI); blood biomarker levels (e.g., brain-derived neurotrophic factor and vascular endothelial growth factor); and clinical assessments of strength and mobility. The overall study objectives are to assess protocol feasibility and investigate relationships between select biomarkers and walking recovery to provide strong justification for a larger study on predictors of independent walking after stroke. The proposed objectives will be pursued through the following specific aims: 1) Assess feasibility of a larger study and develop methods for telehealth data collection; 2) Establish baseline levels of biomarkers and average change over time; and 3) Elucidate relationships between baseline levels of biomarkers and walking gains across time in persons after stroke. A longitudinal, observational study design will be utilized for this study. Thirty-five persons with acute (â‰¤7 days) stroke will be recruited from the local medical center. Select inclusion criteria include presence of new lower limb weakness and assistance for walking; select exclusion criteria include cerebellar stroke or other neurological disorders such as Parkinson's Disease. Subjects will undergo clinical evaluation at week 1, 4, 9, 12, and 26 weeks post-stroke. MRI scans will occur within 12 days post-stroke and at 12 weeks post-stroke, and blood draws within 1 week, 1 to 2 weeks and at 12 weeks post-stroke. To assess feasibility the investigators will examine study processes, recruitment"
304,305,BG,NCT05697497,Functional Activity Strength Training,"This study is a randomized trial of 100 older adults with mobility disability, who performed a similar brief daily, resistance training program. The investigators set out to answer the following question ""Will a digital, brief daily exercise program be feasible, acceptable, and effective among older adults with walking limitations?"" To answer that question, participants were assigned to an intervention or delayed-treatment control group. Intervention participants were assigned to complete two 30-second lower body exercises and two 30-second upper body exercises. Fitness tests were completed remotely three times during the 12-weeks (i.e., at baseline, week 6, week 12).",COMPLETED,NO,"Walking, Difficulty",BEHAVIORAL: Daily exercise intervention,Milton S. Hershey Medical Center,,,101.0,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,STUDY00016054,06/01/2022,26/01/2023,18/08/2023,"Penn State Hershey Medical Center, Hershey, Pennsylvania, 17033, United States",https://clinicaltrials.gov/study/NCT05697497,,,,,,n,0.4221417,,,,,,,,,0,"Functional Activity Strength Training This study is a randomized trial of 100 older adults with mobility disability, who performed a similar brief daily, resistance training program. The investigators set out to answer the following question ""Will a digital, brief daily exercise program be feasible, acceptable, and effective among older adults with walking limitations?"" To answer that question, participants were assigned to an intervention or delayed-treatment control group. Intervention participants were assigned to complete two 30-second lower body exercises and two 30-second upper body exercises. Fitness tests were completed remotely three times during the 12-weeks (i.e., at baseline, week 6, week 12)."
305,306,KL,NCT05880121,Neuron-specific Humoral and Cellular Immune Correlates of Structural and Functional Brain Connectomics in Neuropsychiatric Lupus,"Systemic lupus erythematosus (SLE) is the prototype systemic autoimmune disease. Neuropsychiatric SLE (NPSLE) is a major cause of morbidity. Its pathophysiology remains unclear and target autoantigens have not yet been identified. Site- specific autoantigen expression might correlate with imaging abnormalities. Based on existing expertise on the use of peptide/protein arrays and on antigen-specific T cell tracking, we plan to identify new fingerprints and targets for NPSLE. SLE patients +/- NPSLE and healthy subjects will undergo advanced magnetic resonance imaging. Three-dimensional data on structural or functional brain architecture will be integrated with brain transcriptome atlases and candidate antigens for autoreactive autoantibodies and T lymphocytes identified and validated. The evidence will add to current knowledge on NPSLE pathophysiology, provide new multimodal diagnostic tools for better patient care and a platform for innovative, personalized treatments.",RECRUITING,NO,Systemic Lupus Erythematosus,DIAGNOSTIC_TEST: MRI,IRCCS San Raffaele,Istituto Giannina Gaslini,,200.0,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,GR-2021-12372172,30/10/2024,30/05/2023,30/05/2023,"IRCCS Ospedale San Raffaele, Milano, Italy",https://clinicaltrials.gov/study/NCT05880121,,,,,,n,0.432644341,,,,,,,,,0,"Neuron-specific Humoral and Cellular Immune Correlates of Structural and Functional Brain Connectomics in Neuropsychiatric Lupus Systemic lupus erythematosus (SLE) is the prototype systemic autoimmune disease. Neuropsychiatric SLE (NPSLE) is a major cause of morbidity. Its pathophysiology remains unclear and target autoantigens have not yet been identified. Site- specific autoantigen expression might correlate with imaging abnormalities. Based on existing expertise on the use of peptide/protein arrays and on antigen-specific T cell tracking, we plan to identify new fingerprints and targets for NPSLE. SLE patients +/- NPSLE and healthy subjects will undergo advanced magnetic resonance imaging. Three-dimensional data on structural or functional brain architecture will be integrated with brain transcriptome atlases and candidate antigens for autoreactive autoantibodies and T lymphocytes identified and validated. The evidence will add to current knowledge on NPSLE pathophysiology, provide new multimodal diagnostic tools for better patient care and a platform for innovative, personalized treatments."
306,307,KL,NCT05670522,Transcranial Direct Current Stimulation Versus Virtual Reality on Gait in Children With Spastic Diplegia,"Spastic diplegia is the most frequent type of cerebral palsy (CP), and impaired gait is a common sequela of this condition. The investigators compared the effects of two novel research interventions transcranial direct current stimulation (tDCS) and virtual reality (VR) on gait impairments in children with spastic diplegia.

Currently, both tDCS and VR require further investigation to determine their clinical effectiveness for children with CP. Thus, the aim of this study was to compare the effects of tDCS and VR training on spatiotemporal and kinetic gait parameters in children with spastic diplegia, as a supplemental intervention to traditional physical therapy.",COMPLETED,NO,Cerebral Palsy,DEVICE: Transcranial direct current stimulation|DEVICE: Virtual reality,Beni-Suef University,Shirley Ryan AbilityLab|Cairo University,,40.0,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,tDCS verus VR,14/08/2021,04/01/2023,11/01/2023,"outpatient clinic run by the faculty of physical therapy at Cairo University, Giza, 12624, Egypt",https://clinicaltrials.gov/study/NCT05670522,,,,,,n,0.170458923,,,,,,,,,0,"Transcranial Direct Current Stimulation Versus Virtual Reality on Gait in Children With Spastic Diplegia Spastic diplegia is the most frequent type of cerebral palsy (CP), and impaired gait is a common sequela of this condition. The investigators compared the effects of two novel research interventions transcranial direct current stimulation (tDCS) and virtual reality (VR) on gait impairments in children with spastic diplegia. Currently, both tDCS and VR require further investigation to determine their clinical effectiveness for children with CP. Thus, the aim of this study was to compare the effects of tDCS and VR training on spatiotemporal and kinetic gait parameters in children with spastic diplegia, as a supplemental intervention to traditional physical therapy."
